Gene name,Chromosome,Orientation,Left ORF border,Right ORF border,Left txn border,Right txn border,ORF length,Left UTR,Right UTR
SPAC1002.01,chromosome1,+,1798347,1799015,1798347,NA,668,0,NA
SPAC1002.02 ,chromosome1,+,1799128,1799817,1799061,1800053,689,67,236
SPAC1002.03c,chromosome1,-,1800212,1802983,1800107,1803077,2771,105,94
SPAC1002.04c ,chromosome1,-,1803773,1804372,1803516,1804450,599,257,78
SPAC1002.05c ,chromosome1,-,1804650,1806797,NA,NA,2147,NA,NA
SPAC1002.06c,chromosome1,-,1807270,1807781,NA,NA,511,NA,NA
SPAC1002.07c ,chromosome1,-,1808242,1809241,1808080,1809291,999,162,50
SPAC1002.08c ,chromosome1,-,1810023,1811123,1809732,1811326,1100,291,203
SPAC1002.09c,chromosome1,-,1812133,1813668,1811711,1813747,1535,422,79
SPAC1002.10c,chromosome1,-,1813855,1815627,NA,1815727,1772,NA,100
SPAC1002.11 ,chromosome1,+,1816653,1818398,1816497,1818533,1745,156,135
SPAC1002.12c ,chromosome1,-,1818695,1820191,1818587,1820346,1496,108,155
SPAC1002.13c,chromosome1,-,1821936,1823189,1821445,1823426,1253,491,237
SPAC1002.14 ,chromosome1,+,1824785,1826092,1824637,1826122,1307,148,30
SPAC1002.15c,chromosome1,-,1826160,1827061,NA,NA,901,NA,NA
SPAC1002.16c ,chromosome1,-,1827871,1829370,NA,NA,1499,NA,NA
SPAC1002.17c ,chromosome1,-,1831012,1831581,1830685,1831731,569,327,150
SPAC1002.18,chromosome1,+,1832457,1833656,1832117,1833766,1199,340,110
SPAC1002.19,chromosome1,+,1835469,1836788,1835307,1836957,1319,162,169
SPAC1002.20,chromosome1,+,1823972,1824277,NA,NA,305,NA,NA
SPAC1006.01,chromosome1,+,5067840,5069195,5067551,5069307,1355,289,112
SPAC1006.02,chromosome1,+,5069696,5070802,5069587,5070901,1106,109,99
SPAC1006.03c,chromosome1,-,5071212,5073872,5071016,5073872,2660,196,0
SPAC1006.04c,chromosome1,-,5075136,5077994,NA,NA,2858,NA,NA
SPAC1006.05c,chromosome1,-,5079186,5080376,5078436,5080472,1190,750,96
SPAC1006.06,chromosome1,+,5081105,5084680,5080753,5085036,3575,352,356
SPAC1006.07 ,chromosome1,+,5085563,5086741,5085532,5087185,1178,31,444
SPAC1006.08,chromosome1,+,5088089,5089326,5088008,5089492,1237,81,166
SPAC1006.09,chromosome1,+,5090441,5094751,5089826,5094829,4310,615,78
SPAC1039.01 ,chromosome1,+,5445350,5447053,5445350,5447435,1703,0,382
SPAC1039.02,chromosome1,+,5449717,5451522,5449717,5451560,1805,0,38
SPAC1039.03,chromosome1,+,5452729,5453754,5452217,5453812,1025,512,58
SPAC1039.04 ,chromosome1,+,5454901,5456424,5454643,5456619,1523,258,195
SPAC1039.05c,chromosome1,-,5456745,5459395,5456727,5459483,2650,18,88
SPAC1039.06 ,chromosome1,+,5460567,5461814,5460195,5461900,1247,372,86
SPAC1039.07c,chromosome1,-,5462443,5463789,5462177,NA,1346,266,NA
SPAC1039.08 ,chromosome1,+,5464248,5465060,NA,NA,812,NA,NA
SPAC1039.09,chromosome1,+,5466778,5468520,NA,NA,1742,NA,NA
SPAC1039.10,chromosome1,+,5470914,5471350,NA,NA,436,NA,NA
SPAC1039.11c ,chromosome1,-,5471561,5474548,NA,NA,2987,NA,NA
SPAC105.01c ,chromosome1,-,1740616,1743560,1740543,1743622,2944,73,62
SPAC105.02c,chromosome1,-,1744748,1745597,1744115,1745597,849,633,0
SPAC105.03c ,chromosome1,-,1746918,1749044,1746758,1749122,2126,160,78
SPAC1071.01c,chromosome1,-,3855780,3857792,3855298,3857888,2012,482,96
SPAC1071.02 ,chromosome1,+,3858423,3861679,3858268,3861679,3256,155,0
SPAC1071.03c,chromosome1,-,3861719,3862735,3860907,NA,1016,812,NA
SPAC1071.04c ,chromosome1,-,3863001,3863504,NA,3863504,503,NA,0
SPAC1071.05,chromosome1,+,3864523,3865542,3864478,NA,1019,45,NA
SPAC1071.06 ,chromosome1,+,3866588,3868159,NA,3868327,1571,NA,168
SPAC1071.07c ,chromosome1,-,3868496,3868960,3868441,3868989,464,55,29
SPAC1071.08,chromosome1,+,3869145,3869571,3869103,3869594,426,42,23
SPAC1071.09c ,chromosome1,-,3870660,3871508,NA,NA,848,NA,NA
SPAC1071.10c,chromosome1,-,3871920,3874679,3871735,3876086,2759,185,1407
SPAC1071.11 ,chromosome1,+,3882527,3883261,3881965,3884169,734,562,908
SPAC1071.12c,chromosome1,-,3883621,3884091,3883507,3884387,470,114,296
SPAC1093.01,chromosome1,+,4607632,4611417,4606321,4611543,3785,1311,126
SPAC1093.02 ,chromosome1,+,4612131,4612826,4612095,4613031,695,36,205
SPAC1093.03 ,chromosome1,+,4613627,4616331,4613627,4617099,2704,0,768
SPAC1093.04c ,chromosome1,-,4616462,4618140,NA,4618421,1678,NA,281
SPAC1093.05 ,chromosome1,+,4619693,4621900,4619684,4622156,2207,9,256
SPAC1093.06c,chromosome1,-,4622166,4634756,NA,4635415,12590,NA,659
SPAC10F6.01c ,chromosome1,-,1201077,1205498,1200993,1205998,4421,84,500
SPAC10F6.02c,chromosome1,-,1206925,1210484,1206875,1210561,3559,50,77
SPAC10F6.03c ,chromosome1,-,1211446,1213468,1211112,1213476,2022,334,8
SPAC10F6.04 ,chromosome1,+,1213726,1214781,NA,NA,1055,NA,NA
SPAC10F6.05c ,chromosome1,-,1215121,1215928,1214853,1215952,807,268,24
SPAC10F6.06,chromosome1,+,1217171,1217944,1217163,1218150,773,8,206
SPAC10F6.07c,chromosome1,-,1218321,1218887,NA,NA,566,NA,NA
SPAC10F6.08c ,chromosome1,-,1219667,1220797,NA,1220847,1130,NA,50
SPAC10F6.09c,chromosome1,-,1221209,1224836,1221177,1224863,3627,32,27
SPAC10F6.10 ,chromosome1,+,1225599,1227279,1225522,1227279,1680,77,0
SPAC10F6.11c ,chromosome1,-,1227416,1228861,NA,1228861,1445,NA,0
SPAC10F6.12c,chromosome1,-,1229360,1230070,1229151,1230250,710,209,180
SPAC10F6.13c ,chromosome1,-,1230788,1232017,1230583,1232017,1229,205,0
SPAC10F6.14c ,chromosome1,-,1232316,1233923,1232288,1234069,1607,28,146
SPAC10F6.15,chromosome1,+,1235667,1236965,NA,NA,1298,NA,NA
SPAC10F6.16,chromosome1,+,1238896,1239424,1238896,1240151,528,0,727
SPAC10F6.17c ,chromosome1,-,1240321,1241655,1240153,1241690,1334,168,35
SPAC110.01,chromosome1,+,1908268,1911339,1907300,1911700,3071,968,361
SPAC110.02,chromosome1,+,1912042,1915659,1911866,1915826,3617,176,167
SPAC110.03,chromosome1,+,1916108,1917279,1916045,1917585,1171,63,306
SPAC110.04c,chromosome1,-,1917998,1920160,1917808,1920722,2162,190,562
SPAC1142.01,chromosome1,+,3625574,3627544,NA,NA,1970,NA,NA
SPAC1142.02c,chromosome1,-,3627845,3628886,3627703,3628913,1041,142,27
SPAC1142.03c,chromosome1,-,3629173,3631341,3629083,3631448,2168,90,107
