Chrom,Strand,Internal ID,Feature class Level 1,Gene Class level 2,Husinga 2004 Gene Class,Systematic ID,Common Name,SGD_Start,SGD_End,SGD_Left,SGD_Right,SGD_Length,Experiment_ID,Experiment_Start,Experiment_End,Experiment_Left,Experiment_Right,Experiment_Length,NFR/NDR_Start,NFR/NDR_End,NFR/NDR_Left,NFR/NDR_Right,"NFR/NDR_Dyad-to-Dyad_Length (""9999"" denotes imputed dyad location)",NFR/NDR_Midpoint,Sector_Start,Sector_End,Sector_Left,Sector_Right,Reference Binding Event for Promoter,REF,REF_Coor,REF_type,REF_strand,STM_YPD,SAGA_HS,TF,Cofactor,Bound TF motif,"Consolidated TF
(motif or CX that overlaps Cofactor peak)","Sua7 count
(11743)","Ssl2 count
(11747)","Tfg1 count
(12099)","Tfa1 count
(12101)","Toa1 count
(17053)","Kin28 count
(17983)","Taf2 count
(11846)",PlusOne_Dyad,PlusOne_ID,Median Occupancy,Median Variance,MinusOne_Dyad,MinusOne_ID,Median Occupancy,Median Variance,"MinusOne
Stability (from Kubik Mol Cell 215 (https://doi.org/1.116/j.molcel.215.1.2))",Head_assoc,Distance,ClosestID,ClosestID_rankorder,ClosestID_coor,ClosestID_Strand,Head_Assoc_Type,ClosestID_orientation,Tail_assoc,Distance,ClosestID,ClosestID_rankorder,ClosestID_coor,ClosestID_Strand,Tail_Assoc_Type,ClosestID_orientation,TATA_type,TATA left,TATA right,"Fragile vs Stable ""-1"" nucleosomes from Kubik Mol Cell 2015 (https://doi.org/10.1016/j.molcel.2015.10.002)",GO (Gene Ontology) description
chr4,-,10001,01_RP,01_RP,RP,YDL184C,RPL41A,130484,130407,130407,130484,77,ST4044,130548,130203,130203,130548,345,130930,130475,130475,130930,455,130703,130930,130103,130103,130930,Reb1_12467_Motif_1_chr4_130647_130647_+,Reb1,130647,Motif,+,Sgf73_CX_chr4_130613_130614,Spt7HS_chr4_130668_130669,Fhl1_CX_chr4_130670_130671,Ifh1_CX_chr4_130710_130711,Reb1_12467_Motif_1_chr4_130647_130647_+,,9702,6878,6623,6432,5529,3103,3536,130475,nuc_chr4-130475,126.4786845,28.56921689,130930,nuc_chr4-130930,98.37957423,29.99263903,stable,X_H,215,T_YDL183C,40833,130763,-,T,Tandem,T_T,35,T_YDL185W,31627,130168,+,T,Divergent,TATA_like,130567,130575,stable,"RPL41A_Ribosomal 60S subunit protein L41A_YDL184C|L41A|L47A|RPL47A|YL41|L41e|ribosomal 60S subunit protein L41A|eL41_{Homologous Gene Pair = YDL133C-A, RPL41B, 1}_S0002343"
chr4,-,10002,01_RP,01_RP,RP,YDL133C-A,RPL41B,221801,221724,221724,221801,77,ST4074,221901,221516,221516,221901,385,222017,221782,221782,222017,235,221900,222017,221416,221416,222017,Reb1_CX_chr4_221971_221972,Reb1,221971,CX,.,.,.,Reb1_CX_chr4_221971_221972,.,.,,9699,6256,5367,5064,4555,2492,2407,221782,nuc_chr4-221782,121.9569189,34.9957608,222017,nuc_chr4-222017,24.96680806,23.16829327,fragile,X_H,379,H_YDL133W,20489,222280,+,H,Divergent,T_X,215,H_YDL134C,20566,221301,-,H,Tandem,TATA_box,221949,221957,fragile,"RPL41B_Ribosomal 60S subunit protein L41B_YDL133C-A|L41B|L47B|RPL47B|YL41|YDL134C-A|L41e|ribosomal 60S subunit protein L41B|eL41_{Homologous Gene Pair = YDL184C, RPL41A, 1}_S0002293"
chr15,-,10003,01_RP,01_RP,RP,YOR167C,RPS28A,649007,648804,648804,649007,203,ST6829,649069,648636,648636,649069,433,649313,648975,648975,649313,338,649144,649313,648536,648536,649313,Sum1_11809_Motif_3_chr15_649187_649187_-,Sum1,649187,Motif,-,.,.,Sum1_CX_chr15_649190_649191,.,Sum1_11809_Motif_3_chr15_649187_649187_-,,2783,1730,1663,1498,1018,787,1065,648975,nuc_chr15-648975,143.25015,40.7783292,649313,nuc_chr15-649313,136.7031243,33.47690889,stable,H_H,211,H_YOR168W,31411,649280,+,H,Divergent,T_X,103,H_YOR166C,41391,648533,-,H,Tandem,TATA_like,649098,649106,stable,"RPS28A_Protein component of the small (40S) ribosomal subunit_YOR167C|RPS33A|S28A|S33A|YS27|eS28|S28e|ribosomal 40S subunit protein S28A_{Homologous Gene Pair = YLR264W, RPS28B, 0.98}_S0005693"
chr4,-,10004,01_RP,01_RP,RP,YDL081C,RPP1A,310122,309802,309802,310122,320,ST4103,310213,309716,309716,310213,497,310619,310213,310213,310619,406,310416,310619,309616,309616,310619,Abf1_CX_chr4_310347_310348,Abf1,310347,CX,.,.,.,Abf1_CX_chr4_310347_310348,.,.,,2921,2085,1686,1325,1208,715,1139,,, , ,310619,nuc_chr4-310619,77.16589523,37.79680359,stable,H_H,243,H_CUT054,90375,310456,+,H,Divergent,T_X,211,T_YDL082W,10104,309505,+,T,Divergent,TATA_like,310241,310249,stable,RPP1A_Ribosomal stalk protein P1 alpha_YDL081C|RPLA1|P1A|ribosomal protein P1A_S0002239
chr15,-,10005,01_RP,01_RP,RP,YOL040C,RPS15,253577,253149,253149,253577,428,ST6702,253639,253086,253086,253639,553,254318,253568,253568,254318,9999,253943,254318,252986,252986,254318,Rap1_15258_Motif_1_chr15_253953_253953_+,Rap1,253953,Motif,+,Sgf73_CX_chr15_253952_253953,.,Fhl1_CX_chr15_253879_253880,Ifh1_CX_chr15_254073_254074,Rap1_15258_Motif_1_chr15_253953_253953_+,,5353,3234,3893,3028,2438,1762,1937,253568,nuc_chr15-253568,116.0224754,35.40334361,,, , ,fragile,H_H,57,H_XUT_15F-116,110028,253696,+,H,Divergent,T_X,383,H_YOL041C,30852,252703,-,H,Tandem,TATA_like,253617,253625,fragile,RPS15_Protein component of the small (40S) ribosomal subunit_YOL040C|S15|S21|rp52|RPS21|S19|uS19|ribosomal 40S subunit protein S15_S0005400
chr4,+,10006,01_RP,01_RP,RP,YDR382W,RPP2B,1239492,1239824,1239492,1239824,332,ST0707,1239404,1239981,1239404,1239981,577,1238654,1239404,1238654,1239404,9999,1239029,1238654,1240081,1238654,1240081,Cbf1_CX_chr4_1239117_1239118,Cbf1,1239117,CX,.,.,.,Cbf1_CX_chr4_1239117_1239118,.,.,,4812,2878,2810,2552,1990,1326,1046,,, , ,,, , ,fragile,X_H,275,H_YDR381C-A,40642,1239129,-,H,Divergent,T_X,23,H_CUT088,90421,1240004,+,H,Tandem,TATA_like,1239377,1239385,fragile,RPP2B_Ribosomal protein P2 beta_YDR382W|RPL45|YPA1|L45|P2B|YP2beta|ribosomal protein P2B_S0002790
chr15,-,10007,01_RP,01_RP,RP,YOR369C,RPS12,1028625,1028194,1028194,1028625,431,ST6960,1028705,1028088,1028088,1028705,617,1029073,1028640,1028640,1029073,433,1028857,1029073,1027988,1027988,1029073,Fhl1_8944_Motif_1_chr15_1028912_1028912_+,Fhl1,1028912,Motif,+,Sgf73_CX_chr15_1028912_1028913,.,Fhl1_CX_chr15_1028910_1028911,Ifh1_CX_chr15_1028911_1028912,Fhl1_8944_Motif_1_chr15_1028912_1028912_+,,8424,6121,5370,4986,4124,2438,2999,1028640,nuc_chr15-1028640,75.11651608,41.44087125,1029073,nuc_chr15-1029073,186.1425948,42.02533612,fragile,X_H,311,T_YOR370C,20777,1029016,-,T,Tandem,T_T,11,T_YOR368W,41005,1028077,+,T,Divergent,TATA_box,1028766,1028774,fragile,RPS12_Protein component of the small (40S) ribosomal subunit_YOR369C|eS12|S12|S12e|ribosomal 40S subunit protein S12_S0005896
chr7,-,10008,01_RP,01_RP,RP,YGL076C,RPL7A,365996,364335,364335,365996,1661,ST4841,366060,365435,365435,366060,625,366405,365972,365972,366405,433,366189,366405,365335,365335,366405,Rap1_15258_Motif_1_chr7_366242_366242_-,Rap1,366242,Motif,-,Sgf73_CX_chr7_366242_366243,.,Fhl1_CX_chr7_366153_366154,Ifh1_CX_chr7_366152_366153,Rap1_15258_Motif_1_chr7_366242_366242_-,,3705,2446,2952,2396,2090,1158,2243,365972,nuc_chr7-365972,88.63846847,38.13546499,366405,nuc_chr7-366405,100.6279882,40.64349454,fragile,X_H,314,T_snR39B,120037,366374,-,T,Tandem,T_X,184,H_snR39,120027,365251,-,H,Tandem,TATA_like,366029,366037,fragile,"RPL7A_Ribosomal 60S subunit protein L7A_YGL076C|rp11|L30|L6A|L7A|YL8|ribosomal 60S subunit protein L7A|uL30_{Homologous Gene Pair = YPL198W, RPL7B, 0.97}_S0003044"
chr4,+,10009,01_RP,01_RP,RP,YDR418W,RPL12B,1301616,1302113,1301616,1302113,497,ST0730,1301564,1302229,1301564,1302229,665,1301255,1301670,1301255,1301670,415,1301463,1301255,1302329,1301255,1302329,Hmo1_12836_Motif_1_chr4_1301398_1301398_+,Hmo1,1301398,Motif,+,Sgf73_CX_chr4_1301388_1301389,.,Fhl1_CX_chr4_1301345_1301346,Ifh1_CX_chr4_1301444_1301445,Hmo1_12836_Motif_1_chr4_1301398_1301398_+,,4424,2756,3052,2572,1876,1513,2336,1301670,nuc_chr4-1301670,136.9497114,39.89446928,1301255,nuc_chr4-1301255,36.08381087,41.30099233,fragile,X_H,587,H_CUT532,90366,1300977,-,H,Divergent,T_X,506,H_ACS_4_1302758_-,160123,1302735,-,H,Divergent,TATA_like,1301531,1301539,fragile,"RPL12B_Ribosomal 60S subunit protein L12B_YDR418W|uL11|L11|L12B|L15B|YL23|ribosomal 60S subunit protein L12B_{Homologous Gene Pair = YEL054C, RPL12A, 1}_S0002826"
chr8,-,10010,01_RP,01_RP,RP,YHL033C,RPL8A,36025,35255,35255,36025,770,ST5083,35255,34566,34566,35255,689,36422,35963,35963,36422,459,36193,36422,34466,34466,36422,Rap1_15258_Motif_1_chr8_36259_36259_-,Rap1,36259,Motif,-,Ada2_CX_chr8_36029_36030,.,Fhl1_CX_chr8_36174_36175,Ada2_CX_chr8_36029_36030,Rap1_15258_Motif_1_chr8_36259_36259_-,,181,144,278,268,356,218,412,35963,nuc_chr8-35963,134.5883657,40.21321879,36422,nuc_chr8-36422,150.7574944,33.11358461,fragile,X_H,1079,T_YHL032C,41930,36334,-,T,Tandem,T_X,359,H_YHL034C,30542,34207,-,H,Tandem,TATA_like,36112,36120,fragile,"RPL8A_Ribosomal 60S subunit protein L8A_YHL033C|L4A|L8A|MAK7|YL5|rp6|L8e|ribosomal 60S subunit protein L8A|eL8_{Homologous Gene Pair = YLL045C, RPL8B, 0.97}_S0001025"
